assembly_accession,species,strain,assembly_level,assembly_method,bioproject,biosample,genome_size,gc_content,contig_count,n50,sequencing_tech,genome_type,host,isolation_source,country,collection_date,has_host,has_source,has_country,host_clean,source_clean,country_clean,species_epithet,host_bs,source_bs,country_bs,host_final,host_source,source_final,source_source,country_final,country_source,species_final
GCA_049191905.1,Bifidobacterium longum subsp. longum,IATA062,Contig,SPAdes v. v4.0.0,PRJNA1190840,SAMN45053956,2469839.0,60.0,73.0,95289.0,,isolate,Homo sapiens,feces,Spain:Valencia,,True,True,True,homo sapiens,feces,Spain:Valencia,longum,homo sapiens,feces,spain:valencia,homo sapiens,biosample,human_gut,biosample,spain,biosample,Bifidobacterium longum
GCA_049204995.1,Bifidobacterium longum subsp. longum,IATA116,Contig,SPAdes v. v4.0.0,PRJNA1190840,SAMN45053975,2448218.0,60.0,36.0,163635.0,,isolate,Homo sapiens,feces,Spain:Valencia,,True,True,True,homo sapiens,feces,Spain:Valencia,longum,homo sapiens,feces,spain:valencia,homo sapiens,biosample,human_gut,biosample,spain,biosample,Bifidobacterium longum
GCA_049205105.1,Bifidobacterium longum subsp. longum,IATA107,Contig,SPAdes v. v4.0.0,PRJNA1190840,SAMN45053970,2295816.0,60.0,19.0,264585.0,,isolate,Homo sapiens,feces,Spain:Valencia,,True,True,True,homo sapiens,feces,Spain:Valencia,longum,homo sapiens,feces,spain:valencia,homo sapiens,biosample,human_gut,biosample,spain,biosample,Bifidobacterium longum
GCA_049205355.1,Bifidobacterium longum subsp. longum,IATA034,Contig,SPAdes v. v4.0.0,PRJNA1190840,SAMN45053951,2456017.0,60.0,74.0,80394.0,,isolate,Homo sapiens,feces,Spain:Valencia,,True,True,True,homo sapiens,feces,Spain:Valencia,longum,homo sapiens,feces,spain:valencia,homo sapiens,biosample,human_gut,biosample,spain,biosample,Bifidobacterium longum
GCA_049205375.1,Bifidobacterium longum subsp. longum,IATA033,Contig,SPAdes v. v4.0.0,PRJNA1190840,SAMN45053950,2629996.0,60.0,61.0,101858.0,,isolate,Homo sapiens,feces,Spain:Valencia,,True,True,True,homo sapiens,feces,Spain:Valencia,longum,homo sapiens,feces,spain:valencia,homo sapiens,biosample,human_gut,biosample,spain,biosample,Bifidobacterium longum
GCA_049205395.1,Bifidobacterium longum subsp. longum,IATA015,Contig,SPAdes v. v4.0.0,PRJNA1190840,SAMN45053944,2249871.0,60.0,129.0,40955.0,,isolate,Homo sapiens,feces,Spain:Valencia,,True,True,True,homo sapiens,feces,Spain:Valencia,longum,homo sapiens,feces,spain:valencia,homo sapiens,biosample,human_gut,biosample,spain,biosample,Bifidobacterium longum
GCA_049205415.1,Bifidobacterium longum subsp. longum,IATA003,Contig,SPAdes v. v4.0.0,PRJNA1190840,SAMN45053940,2232558.0,60.0,156.0,32267.0,,isolate,Homo sapiens,feces,Spain:Valencia,,True,True,True,homo sapiens,feces,Spain:Valencia,longum,homo sapiens,feces,spain:valencia,homo sapiens,biosample,human_gut,biosample,spain,biosample,Bifidobacterium longum
GCA_050255475.1,Bifidobacterium longum subsp. longum,Bg41721_1A7,Contig,SPAdes v. 3.13.0,PRJNA1126848,SAMN41988859,2256862.0,59.5,139.0,174709.0,,isolate,Homo sapiens,,Bangladesh,,True,False,True,homo sapiens,,Bangladesh,longum,homo sapiens,envo:00002003,bangladesh,homo sapiens,biosample,other,biosample,bangladesh,biosample,Bifidobacterium longum
GCA_050255495.1,Bifidobacterium longum subsp. longum,Bg155.S09_3D10,Contig,SPAdes v. 3.13.0,PRJNA1126848,SAMN41988858,2415775.0,60.0,45.0,195940.0,,isolate,Homo sapiens,,Bangladesh,,True,False,True,homo sapiens,,Bangladesh,longum,homo sapiens,envo:00002003,bangladesh,homo sapiens,biosample,other,biosample,bangladesh,biosample,Bifidobacterium longum
GCA_050255515.1,Bifidobacterium longum subsp. longum,Bg115.S08_3B11,Contig,SPAdes v. 3.13.0,PRJNA1126848,SAMN41988857,2280732.0,60.0,56.0,195188.0,,isolate,Homo sapiens,,Bangladesh,,True,False,True,homo sapiens,,Bangladesh,longum,homo sapiens,envo:00002003,bangladesh,homo sapiens,biosample,other,biosample,bangladesh,biosample,Bifidobacterium longum
GCA_050255535.1,Bifidobacterium longum subsp. longum,Bg115.S08_3A11,Contig,SPAdes v. 3.13.0,PRJNA1126848,SAMN41988856,2318045.0,60.0,188.0,154223.0,,isolate,Homo sapiens,,Bangladesh,,True,False,True,homo sapiens,,Bangladesh,longum,homo sapiens,envo:00002003,bangladesh,homo sapiens,biosample,other,biosample,bangladesh,biosample,Bifidobacterium longum
GCA_050255555.1,Bifidobacterium longum subsp. longum,Bg009.S10_1D10,Contig,SPAdes v. 3.13.0,PRJNA1126848,SAMN41988855,2534456.0,60.0,73.0,136709.0,,isolate,Homo sapiens,,Bangladesh,,True,False,True,homo sapiens,,Bangladesh,longum,homo sapiens,envo:00002003,bangladesh,homo sapiens,biosample,other,biosample,bangladesh,biosample,Bifidobacterium longum
GCA_051063335.1,Bifidobacterium longum subsp. longum,2343B,Contig,SPAdes v. 4.0,PRJNA1279005,SAMN49352140,2433197.0,60.0,46.0,97474.0,,isolate,Homo sapiens,,Italy,,True,False,True,homo sapiens,,Italy,longum,homo sapiens,envo:00002003,italy,homo sapiens,biosample,other,biosample,italy,biosample,Bifidobacterium longum
GCA_051063375.1,Bifidobacterium longum subsp. longum,2339B,Contig,SPAdes v. 4.0,PRJNA1279005,SAMN49352138,2496427.0,60.0,41.0,129049.0,,isolate,Homo sapiens,,Italy,,True,False,True,homo sapiens,,Italy,longum,homo sapiens,envo:00002003,italy,homo sapiens,biosample,other,biosample,italy,biosample,Bifidobacterium longum
GCA_051063475.1,Bifidobacterium longum subsp. longum,2327B,Contig,SPAdes v. 4.0,PRJNA1279005,SAMN49352133,2365697.0,60.0,23.0,420297.0,,isolate,Homo sapiens,,Italy,,True,False,True,homo sapiens,,Italy,longum,homo sapiens,envo:00002003,italy,homo sapiens,biosample,other,biosample,italy,biosample,Bifidobacterium longum
GCA_051063695.1,Bifidobacterium longum subsp. longum,2288B,Contig,SPAdes v. 4.0,PRJNA1279005,SAMN49352122,2384916.0,60.0,28.0,358229.0,,isolate,Homo sapiens,,Italy,,True,False,True,homo sapiens,,Italy,longum,homo sapiens,envo:00002003,italy,homo sapiens,biosample,other,biosample,italy,biosample,Bifidobacterium longum
GCA_051063715.1,Bifidobacterium longum subsp. longum,2285B,Contig,SPAdes v. 4.0,PRJNA1279005,SAMN49352121,2502834.0,60.0,25.0,197643.0,,isolate,Homo sapiens,,Italy,,True,False,True,homo sapiens,,Italy,longum,homo sapiens,envo:00002003,italy,homo sapiens,biosample,other,biosample,italy,biosample,Bifidobacterium longum
GCA_051063735.1,Bifidobacterium longum subsp. longum,2283B,Contig,SPAdes v. 4.0,PRJNA1279005,SAMN49352120,2519234.0,60.0,50.0,111593.0,,isolate,Homo sapiens,,Italy,,True,False,True,homo sapiens,,Italy,longum,homo sapiens,envo:00002003,italy,homo sapiens,biosample,other,biosample,italy,biosample,Bifidobacterium longum
GCA_051063775.1,Bifidobacterium longum subsp. longum,2275B,Contig,SPAdes v. 4.0,PRJNA1279005,SAMN49352118,2535784.0,60.0,43.0,199946.0,,isolate,Homo sapiens,,Italy,,True,False,True,homo sapiens,,Italy,longum,homo sapiens,envo:00002003,italy,homo sapiens,biosample,other,biosample,italy,biosample,Bifidobacterium longum
GCA_051063815.1,Bifidobacterium longum subsp. longum,2272B,Contig,SPAdes v. 4.0,PRJNA1279005,SAMN49352115,2509065.0,60.0,25.0,241170.0,,isolate,Homo sapiens,,Italy,,True,False,True,homo sapiens,,Italy,longum,homo sapiens,envo:00002003,italy,homo sapiens,biosample,other,biosample,italy,biosample,Bifidobacterium longum
GCA_051063855.1,Bifidobacterium longum subsp. longum,2271B,Contig,SPAdes v. 4.0,PRJNA1279005,SAMN49352114,2401465.0,60.0,40.0,156010.0,,isolate,Homo sapiens,,Italy,,True,False,True,homo sapiens,,Italy,longum,homo sapiens,envo:00002003,italy,homo sapiens,biosample,other,biosample,italy,biosample,Bifidobacterium longum
GCA_051063935.1,Bifidobacterium longum subsp. longum,2264B,Contig,SPAdes v. 4.0,PRJNA1279005,SAMN49352110,2503730.0,60.0,27.0,202539.0,,isolate,Homo sapiens,,Italy,,True,False,True,homo sapiens,,Italy,longum,homo sapiens,envo:00002003,italy,homo sapiens,biosample,other,biosample,italy,biosample,Bifidobacterium longum
GCA_051063955.1,Bifidobacterium longum subsp. longum,2263B,Contig,SPAdes v. 4.0,PRJNA1279005,SAMN49352109,2422776.0,60.0,23.0,272960.0,,isolate,Homo sapiens,,Italy,,True,False,True,homo sapiens,,Italy,longum,homo sapiens,envo:00002003,italy,homo sapiens,biosample,other,biosample,italy,biosample,Bifidobacterium longum
GCA_051906175.1,Bifidobacterium longum subsp. longum,CICC 6186 = JCM 1217,Contig,SPAdes v. 3.14.1,PRJNA1288172,SAMN49835369,2344880.0,60.5,38.0,119023.0,,isolate,Homo sapiens,Adult gut,China,,True,True,True,homo sapiens,adult gut,China,longum,homo sapiens,adult gut,china,homo sapiens,biosample,animal_gut,biosample,china,biosample,Bifidobacterium longum
GCA_054075065.1,Bifidobacterium longum subsp. longum,BA3,Contig,SPAdes v. 3.90,PRJNA762683,SAMN21401152,2247020.0,60.0,12.0,501095.0,,isolate,,dairy products,Germany,,False,True,True,,dairy products,Germany,longum,,dairy products,germany,unknown,none,other,biosample,germany,biosample,Bifidobacterium longum
GCA_054149065.1,Bifidobacterium longum subsp. longum,MCC10217,Complete Genome,SMRT Analysis v. MAY-2018,PRJNA524492,SAMN11056684,2408140.0,60.0,1.0,2408140.0,,isolate,Homo sapiens,,Japan,,True,False,True,homo sapiens,,Japan,longum,homo sapiens,milk,japan,homo sapiens,biosample,milk,biosample,japan,biosample,Bifidobacterium longum
GCA_054960775.1,Bifidobacterium longum subsp. longum,iVE-15,Complete Genome,Canu v. 2.1.1; Flye v. 2.9.1,PRJNA1348473,SAMN54979378,2448736.0,60.5,2.0,2441751.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,stool,usa,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium longum
GCA_055383495.1,Bifidobacterium longum subsp. longum,BB536,Complete Genome,Trycycler v. 0.5.5,PRJDB18838,SAMD00820616,2419524.0,60.0,1.0,2419524.0,,isolate,,,Japan:Kanagawa,,False,False,True,,,Japan:Kanagawa,longum,,bifidobacterium longum subsp. longum bb536,japan:kanagawa,unknown,none,other,biosample,japan,biosample,Bifidobacterium longum
GCA_902167545.1,Bifidobacterium longum subsp. longum,B.longum_ssp_longum,Contig,SPAdes 3.11.1,PRJEB27068,SAMEA5770188,2402824.0,59.5,46.0,149237.0,,isolate,,,,,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCA_902505435.1,Bifidobacterium longum subsp. longum,LH_12,Scaffold,Velvet,PRJEB28188,SAMEA4838169,2484806.0,60.0,28.0,345318.0,,isolate,,,,2014-08-08,False,False,False,,,,longum,,human gut,,unknown,none,animal_gut,biosample,unknown,none,Bifidobacterium longum
GCA_902505475.1,Bifidobacterium longum subsp. longum,LH_206,Scaffold,Velvet,PRJEB28188,SAMEA4838170,2350538.0,60.0,43.0,180020.0,,isolate,,,,2014-08-08,False,False,False,,,,longum,,human gut,,unknown,none,animal_gut,biosample,unknown,none,Bifidobacterium longum
GCA_902505545.1,Bifidobacterium longum subsp. longum,LH_277,Scaffold,Velvet,PRJEB28188,SAMEA4838171,2356732.0,60.0,48.0,143665.0,,isolate,,,,2014-08-08,False,False,False,,,,longum,,human gut,,unknown,none,animal_gut,biosample,unknown,none,Bifidobacterium longum
GCA_925297675.1,Bifidobacterium longum subsp. longum,IM810,Contig,SPADES,PRJEB49530,SAMEA11998856,2320602.0,60.0,41.0,199815.0,,isolate,,,,not provided,False,False,False,,,,longum,,food,,unknown,none,food,biosample,unknown,none,Bifidobacterium longum
GCA_925300395.1,Bifidobacterium longum subsp. longum,IM937,Contig,SPADES,PRJEB49530,SAMEA11998729,2344588.0,59.5,42.0,181903.0,,isolate,,,,not provided,False,False,False,,,,longum,,human,,unknown,none,other,biosample,unknown,none,Bifidobacterium longum
GCA_965137725.1,Bifidobacterium longum subsp. longum,type strain: CIP64.62,Scaffold,fq2dna,PRJEB85433,SAMEA117660714,2346166.0,60.5,35.0,136015.0,,isolate,,,,not provided,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCF_000730105.1,Bifidobacterium longum subsp. longum 1-5B,1-5B,Scaffold,CLC Genomics Workbench v. 6.0.2,PRJNA209580,SAMN02862991,2367512.0,60.0,28.0,286860.0,,isolate,,stool sample,Russia: Moscow,,False,True,True,,stool sample,Russia: Moscow,longum,,stool sample,russia: moscow,unknown,none,human_gut,biosample,russia,biosample,Bifidobacterium longum
GCA_000730105.1,Bifidobacterium longum subsp. longum 1-5B,1-5B,Scaffold,CLC Genomics Workbench v. 6.0.2,PRJNA209580,SAMN02862991,2367512.0,60.0,28.0,286860.0,,isolate,,stool sample,Russia: Moscow,,False,True,True,,stool sample,Russia: Moscow,longum,,stool sample,russia: moscow,unknown,none,human_gut,biosample,russia,biosample,Bifidobacterium longum
GCF_000261245.1,Bifidobacterium longum subsp. longum 1-6B,1-6B,Contig,Newbler v. 2.6,PRJNA89647,SAMN00829154,2686768.0,59.5,171.0,58499.0,,isolate,Homo sapiens,,not determined,not determined,True,False,True,homo sapiens,,not determined,longum,homo sapiens,missing,,homo sapiens,biosample,other,none,not determined,assembly,Bifidobacterium longum
GCA_000261245.1,Bifidobacterium longum subsp. longum 1-6B,1-6B,Contig,Newbler v. 2.6,PRJNA89647,SAMN00829154,2686768.0,59.5,171.0,58499.0,,isolate,Homo sapiens,,not determined,not determined,True,False,True,homo sapiens,,not determined,longum,homo sapiens,missing,,homo sapiens,biosample,other,none,not determined,assembly,Bifidobacterium longum
GCF_000730035.1,Bifidobacterium longum subsp. longum 17-1B,17-1B,Scaffold,CLC Genomics Workbench v. 6.0.2,PRJNA209583,SAMN02862993,2467200.0,60.0,23.0,247559.0,,isolate,,stool sample,Russia: Moscow,,False,True,True,,stool sample,Russia: Moscow,longum,,stool sample,russia: moscow,unknown,none,human_gut,biosample,russia,biosample,Bifidobacterium longum
GCA_000730035.1,Bifidobacterium longum subsp. longum 17-1B,17-1B,Scaffold,CLC Genomics Workbench v. 6.0.2,PRJNA209583,SAMN02862993,2467200.0,60.0,23.0,247559.0,,isolate,,stool sample,Russia: Moscow,,False,True,True,,stool sample,Russia: Moscow,longum,,stool sample,russia: moscow,unknown,none,human_gut,biosample,russia,biosample,Bifidobacterium longum
GCF_000261205.1,Bifidobacterium longum subsp. longum 2-2B,2-2B,Contig,Celera Assembler v. 6.1,PRJNA89651,SAMN00829155,2625697.0,59.5,141.0,39901.0,,isolate,Homo sapiens,,not determined,not determined,True,False,True,homo sapiens,,not determined,longum,homo sapiens,missing,,homo sapiens,biosample,other,none,not determined,assembly,Bifidobacterium longum
GCA_000261205.1,Bifidobacterium longum subsp. longum 2-2B,2-2B,Contig,Celera Assembler v. 6.1,PRJNA89651,SAMN00829155,2625697.0,59.5,141.0,39901.0,,isolate,Homo sapiens,,not determined,not determined,True,False,True,homo sapiens,,not determined,longum,homo sapiens,missing,,homo sapiens,biosample,other,none,not determined,assembly,Bifidobacterium longum
GCF_000261225.1,Bifidobacterium longum subsp. longum 35B,35B,Contig,Celera Assembler v. 6.1,PRJNA89649,SAMN00829158,2514431.0,60.0,131.0,57033.0,,isolate,Homo sapiens,,not determined,not determined,True,False,True,homo sapiens,,not determined,longum,homo sapiens,missing,,homo sapiens,biosample,other,none,not determined,assembly,Bifidobacterium longum
GCA_000261225.1,Bifidobacterium longum subsp. longum 35B,35B,Contig,Celera Assembler v. 6.1,PRJNA89649,SAMN00829158,2514431.0,60.0,131.0,57033.0,,isolate,Homo sapiens,,not determined,not determined,True,False,True,homo sapiens,,not determined,longum,homo sapiens,missing,,homo sapiens,biosample,other,none,not determined,assembly,Bifidobacterium longum
GCF_000261265.1,Bifidobacterium longum subsp. longum 44B,44B,Contig,Newbler v. 2.6,PRJNA89645,SAMN00829148,2559217.0,59.5,62.0,90207.0,,isolate,Homo sapiens,,not determined,not determined,True,False,True,homo sapiens,,not determined,longum,homo sapiens,missing,,homo sapiens,biosample,other,none,not determined,assembly,Bifidobacterium longum
GCA_000261265.1,Bifidobacterium longum subsp. longum 44B,44B,Contig,Newbler v. 2.6,PRJNA89645,SAMN00829148,2559217.0,59.5,62.0,90207.0,,isolate,Homo sapiens,,not determined,not determined,True,False,True,homo sapiens,,not determined,longum,homo sapiens,missing,,homo sapiens,biosample,other,none,not determined,assembly,Bifidobacterium longum
GCF_000730055.1,Bifidobacterium longum subsp. longum 7-1B,7-1B,Scaffold,CLC Genomics Workbench v. 6.0.2,PRJNA209581,SAMN02862992,2407087.0,60.0,37.0,435415.0,,isolate,,stool sample,Russia: Moscow,,False,True,True,,stool sample,Russia: Moscow,longum,,stool sample,russia: moscow,unknown,none,human_gut,biosample,russia,biosample,Bifidobacterium longum
GCA_000730055.1,Bifidobacterium longum subsp. longum 7-1B,7-1B,Scaffold,CLC Genomics Workbench v. 6.0.2,PRJNA209581,SAMN02862992,2407087.0,60.0,37.0,435415.0,,isolate,,stool sample,Russia: Moscow,,False,True,True,,stool sample,Russia: Moscow,longum,,stool sample,russia: moscow,unknown,none,human_gut,biosample,russia,biosample,Bifidobacterium longum
GCF_000730045.1,Bifidobacterium longum subsp. longum 72B,72B,Scaffold,CLC Genomics Workbench v. 6.0.2,PRJNA236797,SAMN02862994,2374452.0,60.5,39.0,186419.0,,isolate,,stool sample,Russia: Moscow,,False,True,True,,stool sample,Russia: Moscow,longum,,stool sample,russia: moscow,unknown,none,human_gut,biosample,russia,biosample,Bifidobacterium longum
GCA_000730045.1,Bifidobacterium longum subsp. longum 72B,72B,Scaffold,CLC Genomics Workbench v. 6.0.2,PRJNA236797,SAMN02862994,2374452.0,60.5,39.0,186419.0,,isolate,,stool sample,Russia: Moscow,,False,True,True,,stool sample,Russia: Moscow,longum,,stool sample,russia: moscow,unknown,none,human_gut,biosample,russia,biosample,Bifidobacterium longum
GCF_000003135.1,Bifidobacterium longum subsp. longum ATCC 55813,ATCC 55813,Scaffold,,PRJNA31437,SAMN00001475,2396359.0,60.5,140.0,137057.0,,isolate,,,not determined,not determined,False,False,True,,,not determined,longum,,,not determined,unknown,none,other,none,not determined,biosample,Bifidobacterium longum
GCA_000003135.1,Bifidobacterium longum subsp. longum ATCC 55813,ATCC 55813,Scaffold,,PRJNA31437,SAMN00001475,2396359.0,60.5,140.0,137057.0,,isolate,,,not determined,not determined,False,False,True,,,not determined,longum,,,not determined,unknown,none,other,none,not determined,biosample,Bifidobacterium longum
GCF_000166315.1,Bifidobacterium longum subsp. longum BBMN68,BBMN68,Complete Genome,,PRJNA53143,SAMN02603469,2265943.0,60.0,1.0,2265943.0,,isolate,,,,,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCA_000166315.1,Bifidobacterium longum subsp. longum BBMN68,BBMN68,Complete Genome,,PRJNA53143,SAMN02603469,2265943.0,60.0,1.0,2265943.0,,isolate,,,,,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCF_001050555.1,Bifidobacterium longum subsp. longum CECT 7347,CECT 7347,Contig,,PRJEB107,SAMEA3146249,2327220.0,60.0,128.0,39694.0,,isolate,,,,,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCA_001050555.1,Bifidobacterium longum subsp. longum CECT 7347,CECT 7347,Contig,,PRJEB107,SAMEA3146249,2327220.0,60.0,128.0,39694.0,,isolate,,,,,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCF_000410595.1,Bifidobacterium longum subsp. longum CMCC P0001,CMCC P0001,Scaffold,SOAP denovo v. 1.05,PRJNA182967,SAMN02470970,2424349.0,60.0,135.0,34158.0,,isolate,Homo sapiens,,,,True,False,False,homo sapiens,,,longum,homo sapiens,,,homo sapiens,biosample,other,none,unknown,none,Bifidobacterium longum
GCA_000410595.1,Bifidobacterium longum subsp. longum CMCC P0001,CMCC P0001,Scaffold,SOAP denovo v. 1.05,PRJNA182967,SAMN02470970,2424349.0,60.0,135.0,34158.0,,isolate,Homo sapiens,,,,True,False,False,homo sapiens,,,longum,homo sapiens,,,homo sapiens,biosample,other,none,unknown,none,Bifidobacterium longum
GCF_000730135.1,Bifidobacterium longum subsp. longum EK13,EK13,Scaffold,CLC Genomics Workbench v. 6.0.2,PRJNA236800,SAMN02862997,2474529.0,60.0,48.0,303761.0,,isolate,,stool sample,Russia: Moscow,,False,True,True,,stool sample,Russia: Moscow,longum,,stool sample,russia: moscow,unknown,none,human_gut,biosample,russia,biosample,Bifidobacterium longum
GCA_000730135.1,Bifidobacterium longum subsp. longum EK13,EK13,Scaffold,CLC Genomics Workbench v. 6.0.2,PRJNA236800,SAMN02862997,2474529.0,60.0,48.0,303761.0,,isolate,,stool sample,Russia: Moscow,,False,True,True,,stool sample,Russia: Moscow,longum,,stool sample,russia: moscow,unknown,none,human_gut,biosample,russia,biosample,Bifidobacterium longum
GCF_000730025.1,Bifidobacterium longum subsp. longum EK5,EK5,Scaffold,CLC Genomics Workbench v. 6.0.2,PRJNA236799,SAMN02862996,2231287.0,59.5,35.0,254810.0,,isolate,,stool sample,Russia: Moscow,,False,True,True,,stool sample,Russia: Moscow,longum,,stool sample,russia: moscow,unknown,none,human_gut,biosample,russia,biosample,Bifidobacterium longum
GCA_000730025.1,Bifidobacterium longum subsp. longum EK5,EK5,Scaffold,CLC Genomics Workbench v. 6.0.2,PRJNA236799,SAMN02862996,2231287.0,59.5,35.0,254810.0,,isolate,,stool sample,Russia: Moscow,,False,True,True,,stool sample,Russia: Moscow,longum,,stool sample,russia: moscow,unknown,none,human_gut,biosample,russia,biosample,Bifidobacterium longum
GCF_000210755.1,Bifidobacterium longum subsp. longum F8,F8,Chromosome,,PRJNA45963,SAMEA3138379,2384987.0,60.0,21.0,230054.0,,isolate,,,,,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCA_000210755.1,Bifidobacterium longum subsp. longum F8,F8,Chromosome,,PRJNA45963,SAMEA3138379,2384987.0,60.0,21.0,230054.0,,isolate,,,,,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCF_000772485.1,Bifidobacterium longum subsp. longum GT15,GT15,Complete Genome,454 GS De Novo Assembler v. version 2.8,PRJNA191592,SAMN03093230,2337521.0,60.0,1.0,2337521.0,,isolate,,fecal sample of a healthy adult,Russia: Central region,,False,True,True,,fecal sample of a healthy adult,Russia: Central region,longum,,fecal sample of a healthy adult,russia: central region,unknown,none,human_gut,biosample,russia,biosample,Bifidobacterium longum
GCA_000772485.1,Bifidobacterium longum subsp. longum GT15,GT15,Complete Genome,454 GS De Novo Assembler v. version 2.8,PRJNA191592,SAMN03093230,2337521.0,60.0,1.0,2337521.0,,isolate,,fecal sample of a healthy adult,Russia: Central region,,False,True,True,,fecal sample of a healthy adult,Russia: Central region,longum,,fecal sample of a healthy adult,russia: central region,unknown,none,human_gut,biosample,russia,biosample,Bifidobacterium longum
GCF_000196555.1,Bifidobacterium longum subsp. longum JCM 1217,JCM 1217,Complete Genome,,PRJDA32047,SAMD00060951,2385164.0,60.5,1.0,2385164.0,,isolate,,,,,False,False,False,,,,longum,,ap010888,,unknown,none,other,biosample,unknown,none,Bifidobacterium longum
GCF_964237955.1,Bifidobacterium longum subsp. longum JCM 1217,CC00220,Scaffold,SPAdes,PRJEB45397,SAMEA9956737,2275512.0,60.0,24.0,350415.0,,isolate,,,,,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCF_964238175.1,Bifidobacterium longum subsp. longum JCM 1217,CC00315,Scaffold,SPAdes,PRJEB45397,SAMEA9956815,2281085.0,60.0,27.0,350416.0,,isolate,,,,,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCF_964259635.1,Bifidobacterium longum subsp. longum JCM 1217,CC00613,Scaffold,SPAdes,PRJEB64565,SAMEA114263584,2450298.0,60.5,25.0,327783.0,,isolate,,,,2019-07-22,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCA_000196555.1,Bifidobacterium longum subsp. longum JCM 1217,JCM 1217,Complete Genome,,PRJDA32047,SAMD00060951,2385164.0,60.5,1.0,2385164.0,,isolate,,,,,False,False,False,,,,longum,,ap010888,,unknown,none,other,biosample,unknown,none,Bifidobacterium longum
GCA_964237955.1,Bifidobacterium longum subsp. longum JCM 1217,CC00220,Scaffold,SPAdes,PRJEB45397,SAMEA9956737,2275512.0,60.0,24.0,350415.0,,isolate,,,,,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCA_964238175.1,Bifidobacterium longum subsp. longum JCM 1217,CC00315,Scaffold,SPAdes,PRJEB45397,SAMEA9956815,2281085.0,60.0,27.0,350416.0,,isolate,,,,,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCA_964259635.1,Bifidobacterium longum subsp. longum JCM 1217,CC00613,Scaffold,SPAdes,PRJEB64565,SAMEA114263584,2450298.0,60.5,25.0,327783.0,,isolate,,,,2019-07-22,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCF_000092325.1,Bifidobacterium longum subsp. longum JDM301,JDM301,Complete Genome,,PRJNA47579,SAMN02603181,2477838.0,60.0,1.0,2477838.0,,isolate,,,,,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCA_000092325.1,Bifidobacterium longum subsp. longum JDM301,JDM301,Complete Genome,,PRJNA47579,SAMN02603181,2477838.0,60.0,1.0,2477838.0,,isolate,,,,,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCF_000219455.1,Bifidobacterium longum subsp. longum KACC 91563,KACC 91563,Complete Genome,,PRJNA66401,SAMN02603656,2395764.0,60.0,3.0,2385301.0,,isolate,,,,,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCF_964259395.1,Bifidobacterium longum subsp. longum KACC 91563,CC00591,Scaffold,SPAdes,PRJEB64565,SAMEA114263563,2385928.0,60.0,29.0,314175.0,,isolate,,,,2019-07-09,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCF_964259695.1,Bifidobacterium longum subsp. longum KACC 91563,CC00553,Contig,SPAdes,PRJEB64565,SAMEA114263533,2385993.0,60.0,27.0,262474.0,,isolate,,,,2019-06-29,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCA_000219455.1,Bifidobacterium longum subsp. longum KACC 91563,KACC 91563,Complete Genome,,PRJNA66401,SAMN02603656,2395764.0,60.0,3.0,2385301.0,,isolate,,,,,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
GCA_964259395.1,Bifidobacterium longum subsp. longum KACC 91563,CC00591,Scaffold,SPAdes,PRJEB64565,SAMEA114263563,2385928.0,60.0,29.0,314175.0,,isolate,,,,2019-07-09,False,False,False,,,,longum,,,,unknown,none,other,none,unknown,none,Bifidobacterium longum
